12251	1	1431,1432,1542
12252	2	1431,1432,1542,1446
12253	3	1431,1432,1542,1446
12254	4	1431,1432,1542,1446
12255	5	1431,1432,1542,1446
12256	6	1431,1432,1542,1446
12257	7	1431,1432,1542,1446
12258	8	1431,1432,1542,1446
12259	9	1431,1432,1542,1446
12260	ASCII 	917,873,886
12261	BP机	1622
12262	B超 	934,736,1455
12263	B超 	1623,1455
12264	CPU 	1624,1490
12265	DNA 	1625
12266	T恤 	1626
12267	U形弯道 	870,1481,962
12268	WTO 	945,1445,1453
12269	X射线 	1627,1455
12270	卻	919,1482,818,1445
12271	圂	1628
12272	惛	956,1263,1265,1472
12273	搥	569
12274	搥打	569
12275	搥胸顿足	704
12276	棔	828
12277	。	918
12278	‘	918
12279	’	918
12280	“	918
12281	”	918
12282	！	918
12283	，	918
12284	：	918
12285	；	918
12286	？	918
12287	γ射线	857
12288	啊	1604
12289	啊哈	1604
12290	啊呀	1604
12291	啊哟	1604
12292	阿	841,1476,1629
12293	阿	841,1476,1630
12294	阿	841,1476,1631
12295	阿	841,1476,1632
12296	阿Ｑ	1633
12297	阿爸	818,1465,1311
12298	阿比让	841,1477,1634
12299	阿波罗	819,1445
12300	阿布卡兹语	1635,1445
12301	阿布扎比	841,1477,1636
12302	阿爹	818,1465,1311
12303	阿斗	818,1445,1535
12304	阿斗	818,1270,1472
12305	阿尔巴尼亚	956,1637,1630
12306	阿尔巴尼亚	841,1476,1638
12307	阿尔巴尼亚人	1639
12308	阿尔巴尼亚语	1635,1445
12309	阿尔法粒子	1640
12310	阿尔法射线	857
12311	阿尔及尔	841,1477,1631
12312	阿尔及利亚	956,1637,1631
12313	阿尔及利亚	841,1476,1641
12314	阿尔及利亚第纳尔	1642
12315	阿尔及利亚人	1643
12316	阿法尔语	1635,1445
12317	阿飞	818,1135,1236,1472
12318	阿富汗	956,1637,1644
12319	阿富汗	841,1476,1645
12320	阿富汗尼	1646
12321	阿富汗人	1647
12322	阿根廷	956,1637,1632
12323	阿根廷	841,1476,1648
12324	阿根廷人	1649
12325	阿狗阿猫	818,1327
12326	阿胶	864
12327	阿克拉	841,1477,1650
12328	阿拉伯	956,1637,1645
12329	阿拉伯	841,1645
12330	阿拉伯联合酋长国	956,1637,1651
12331	阿拉伯联合酋长国	841,1476,1645
12332	阿拉伯人	1652
12333	阿拉伯数字	1653
12334	阿拉伯语	1635,1445
